Date,Open,High,Low,Close,Adj Close,Volume
2022-01-27,53.020000,54.580002,53.000000,53.369999,52.530678,36957200
2022-01-28,53.770000,54.669998,53.099998,54.330002,53.475582,28590400
2022-01-31,54.000000,54.139999,52.389999,52.689999,51.861374,38644600
2022-02-01,52.740002,53.160000,52.389999,53.070000,52.235397,27883300
2022-02-02,52.840000,54.130001,52.450001,53.860001,53.012974,32039300
2022-02-03,53.330002,53.889999,53.090000,53.380001,52.540524,22635800
2022-02-04,53.020000,53.430000,52.630001,53.000000,52.166500,24932200
2022-02-07,53.299999,53.580002,52.240002,53.209999,52.373196,32358500
2022-02-08,50.639999,51.799999,49.689999,51.700001,50.886944,67922000
2022-02-09,51.639999,51.720001,50.900002,51.470001,50.660561,38522200
2022-02-10,51.040001,51.369999,50.389999,50.599998,49.804241,34200600
2022-02-11,50.330002,51.240002,50.080002,50.779999,49.981411,34997800
2022-02-14,49.820000,50.500000,48.480000,49.799999,49.016823,42973100
2022-02-15,49.799999,50.040001,49.209999,49.790001,49.006981,29150000
2022-02-16,49.590000,50.779999,49.430000,49.680000,48.898708,27672600
2022-02-17,49.810001,49.959999,48.750000,48.900002,48.130978,21231700
2022-02-18,48.779999,49.520000,48.200001,48.529999,47.766792,26955300
2022-02-22,47.540001,48.310001,47.349998,47.529999,46.782520,34814800
2022-02-23,47.590000,48.160000,46.779999,46.869999,46.132900,25793000
2022-02-24,45.860001,46.759998,45.400002,45.959999,45.237213,44227300
2022-02-25,45.810001,48.029999,45.740002,47.720001,46.969536,31199200
2022-02-28,46.820000,47.169998,46.340000,46.939999,46.201801,35296100
2022-03-01,46.689999,47.139999,45.439999,45.750000,45.030514,29854500
2022-03-02,46.110001,47.930000,46.000000,47.700001,46.949852,36516200
2022-03-03,47.680000,48.590000,47.480000,47.830002,47.077805,30553300
2022-03-04,47.500000,48.770000,47.410000,48.650002,47.884911,33217300
2022-03-07,48.250000,48.840000,47.520000,47.980000,47.225445,33171300
2022-03-08,47.580002,48.419998,46.470001,47.439999,46.693935,32913300
2022-03-09,48.130001,49.220001,48.000000,48.750000,47.983334,24718900
2022-03-10,48.310001,49.290001,48.049999,49.200001,48.426258,24542300
2022-03-11,49.139999,50.900002,48.939999,50.270000,49.479431,33701900
2022-03-14,50.720001,52.910000,50.389999,52.250000,51.428295,42314500
2022-03-15,52.619999,52.919998,51.180000,52.209999,51.388920,30172100
2022-03-16,52.540001,53.270000,52.180000,52.919998,52.087753,29891400
2022-03-17,52.919998,54.250000,52.790001,54.240002,53.387001,30598600
2022-03-18,54.380001,55.000000,53.709999,54.509998,53.652748,51815000
2022-03-21,54.240002,55.299999,53.900002,54.189999,53.337784,34592500
2022-03-22,54.200001,54.320000,52.500000,53.040001,52.205868,32253600
2022-03-23,53.020000,53.500000,52.160000,52.189999,51.369236,29183700
2022-03-24,52.540001,52.849998,52.290001,52.590000,51.762943,25177500
2022-03-25,52.740002,53.250000,52.509998,52.779999,51.949959,17429600
2022-03-28,52.529999,53.560001,52.500000,53.279999,52.442097,21863700
2022-03-29,54.000000,54.080002,52.619999,52.740002,51.910591,39970000
2022-03-30,53.200001,53.720001,51.970001,52.439999,51.615303,27599600
2022-03-31,52.000000,52.880001,51.740002,51.770000,50.955841,26055200
2022-04-01,52.119999,52.160000,51.099998,51.570000,50.758987,19073100
2022-04-04,51.779999,51.869999,50.369999,50.939999,50.138893,20462800
2022-04-05,50.810001,52.150002,50.750000,51.240002,50.434177,21176700
2022-04-06,51.160000,53.090000,51.160000,52.869999,52.038540,31717500
2022-04-07,52.500000,55.410000,52.500000,55.160000,54.292530,36305700
2022-04-08,54.849998,55.580002,54.459999,55.169998,54.302372,24612200
2022-04-11,55.459999,56.320000,53.779999,53.930000,53.081875,22054300
2022-04-12,53.299999,53.930000,52.650002,53.110001,52.274769,22810700
2022-04-13,53.130001,53.820000,52.700001,53.099998,52.264923,15777800
2022-04-14,53.400002,53.910000,53.040001,53.119999,52.284611,17240100
2022-04-18,52.830002,53.110001,51.630001,51.840000,51.024738,17065000
2022-04-19,51.660000,51.880001,49.369999,50.180000,49.390846,33441500
2022-04-20,50.000000,50.160000,49.209999,49.750000,48.967609,24751800
2022-04-21,49.930000,50.009998,48.919998,49.110001,48.337677,19105600
2022-04-22,48.950001,49.099998,47.900002,48.130001,47.373089,22156800
2022-04-25,47.849998,49.189999,47.119999,48.950001,48.180191,27390600
2022-04-26,48.990002,50.250000,48.919998,49.029999,48.258930,25366500
2022-04-27,49.110001,49.910000,48.209999,49.740002,48.957767,25819200
